tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
CHI,267,297,61.0,2015 NHL Regular Season,6,2,44,228.0,207.0,80,Chicago Blackhawks,0.55,2.85,2.5875
COL,305,313,51.0,2015 NHL Regular Season,22,2,38,215.0,238.0,81,Colorado Avalanche,0.4691358024691358,2.654320987654321,2.9382716049382718
DAL,301,308,66.0,2015 NHL Regular Season,46,2,48,264.0,235.0,80,Dallas Stars,0.6,3.3,2.9375
DET,324,318,59.0,2015 NHL Regular Season,18,2,40,209.0,220.0,79,Detroit Red Wings,0.5063291139240507,2.6455696202531644,2.7848101265822787
EDM,314,298,47.0,2015 NHL Regular Season,10,2,30,203.0,245.0,80,Edmonton Oilers,0.375,2.5375,3.0625
FLA,338,343,58.0,2015 NHL Regular Season,45,2,44,240.0,205.0,79,Florida Panthers,0.5569620253164557,3.037974683544304,2.5949367088607596
LAK,345,298,49.0,2015 NHL Regular Season,41,2,47,225.0,196.0,81,Los Angeles Kings,0.5802469135802469,2.7777777777777777,2.419753086419753
MIN,245,298,56.0,2015 NHL Regular Season,35,2,38,215.0,202.0,80,Minnesota Wild,0.475,2.6875,2.525
MTL,293,316,57.0,2015 NHL Regular Season,2,2,35,211.0,229.0,78,Montréal Canadiens,0.44871794871794873,2.7051282051282053,2.9358974358974357
NJD,325,316,43.0,2015 NHL Regular Season,29,2,38,189.0,211.0,81,New Jersey Devils,0.4691358024691358,2.3333333333333335,2.6049382716049383
NSH,305,310,59.0,2015 NHL Regular Season,19,2,40,222.0,208.0,79,Nashville Predators,0.5063291139240507,2.810126582278481,2.632911392405063
NYI,287,286,49.0,2015 NHL Regular Season,51,2,41,224.0,215.0,79,New York Islanders,0.5189873417721519,2.8354430379746836,2.721518987341772
NYR,296,275,57.0,2015 NHL Regular Season,28,2,45,231.0,212.0,80,New York Rangers,0.5625,2.8875,2.65
OTT,335,324,51.0,2015 NHL Regular Season,32,2,37,239.0,254.0,81,Ottawa Senators,0.4567901234567901,2.950617283950617,3.1358024691358026
PHI,351,368,59.0,2015 NHL Regular Season,14,2,41,216.0,219.0,80,Philadelphia Flyers,0.5125,2.7,2.7375
PIT,313,320,42.0,2015 NHL Regular Season,8,2,46,245.0,204.0,81,Pittsburgh Penguins,0.5679012345679012,3.0246913580246915,2.5185185185185186
SJS,289,338,68.0,2015 NHL Regular Season,16,2,45,244.0,214.0,81,San Jose Sharks,0.5555555555555556,3.0123456790123457,2.6419753086419755
STL,345,310,57.0,2015 NHL Regular Season,7,2,49,232.0,205.0,81,St. Louis Blues,0.6049382716049383,2.8641975308641974,2.5308641975308643
TBL,329,346,45.0,2015 NHL Regular Season,25,2,43,223.0,202.0,80,Tampa Bay Lightning,0.5375,2.7875,2.525
